City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,sampit,-2.5333,112.95,23.67,98,96,0.7,ID,1689467009
66,walvis bay,-22.9575,14.5053,10.53,87,0,2.06,NA,1689467009
67,myitkyina,25.3833,97.4,24.06,99,100,0.52,MM,1689467009
68,lompoc,34.6391,-120.4579,34.45,75,0,3.09,US,1689467010
69,sisimiut,66.9395,-53.6735,4.65,94,100,2.53,GL,1689466799
70,kiunga,-6.1219,141.2906,23.83,86,100,1.89,PG,1689467010
71,puerto natales,-51.7236,-72.4875,-1.27,81,47,2.87,CL,1689467011
72,kourou,5.1552,-52.6478,27.03,86,36,3.06,GF,1689467011
73,villa gesell,-37.2639,-56.973,5.59,78,32,5.92,AR,1689466786
74,tabuk,17.4189,121.4443,26.4,85,98,1.64,PH,1689467012
75,hamilton,39.1834,-84.5333,26.14,89,100,1.54,US,1689466800
76,vadso,70.0744,29.7487,13.49,94,100,1.54,NO,1689467012
77,avarua,-21.2078,-159.775,26.03,78,40,3.09,CK,1689466842
78,general mosconi,-23.1851,-62.303,15.07,51,79,3.94,AR,1689467013
79,west island,-12.1568,96.8225,24.99,78,100,7.72,CC,1689467014
80,ringim,12.1548,9.1619,28.45,55,86,2.52,NG,1689467014
81,arno,60.1167,18.6333,17.66,73,99,5.67,SE,1689467014
82,nadi,-17.8,177.4167,23.0,78,100,3.6,FJ,1689467015
83,hermanus,-34.4187,19.2345,16.0,81,94,6.13,ZA,1689467015
84,camocim,-2.9022,-40.8411,26.0,82,14,6.11,BR,1689467015
85,egilsstadir,65.2653,-14.3948,6.95,87,75,3.6,IS,1689466905
86,castillos,-34.1667,-53.8333,9.59,71,100,3.17,UY,1689467016
87,greymouth,-42.4667,171.2,11.16,92,100,5.79,NZ,1689467016
88,mul,20.0667,79.6667,23.86,97,100,2.5,IN,1689467016
89,phan thiet,10.9333,108.1,26.41,85,100,4.79,VN,1689467017
90,lorengau,-2.0226,147.2712,28.88,72,56,6.32,PG,1689467017
91,brooks,50.5834,-111.8851,26.99,40,29,5.14,CA,1689467017
92,archangelos,36.2149,28.1149,29.06,55,0,3.42,GR,1689467018
93,kloulklubed,7.0419,134.2556,27.28,80,100,8.57,PW,1689467018
94,iskateley,67.6803,53.1512,15.69,71,14,2.05,RU,1689467019
95,agat village,13.3886,144.6585,31.52,79,40,7.2,GU,1689467019
96,velingara,13.15,-14.1167,24.33,89,63,3.24,SN,1689467019
97,bredasdorp,-34.5322,20.0403,14.65,62,88,3.8,ZA,1689466814
98,bada,51.392,109.8717,22.32,67,4,0.86,RU,1689467020
99,kapuskasing,49.4169,-82.4331,21.05,78,100,2.06,CA,1689466808
100,ilulissat,69.2167,-51.1,6.01,93,100,1.54,GL,1689467020
101,howard springs,-12.497,131.047,24.9,58,61,4.17,AU,1689467021
102,college,64.8569,-147.8028,19.21,77,100,2.06,US,1689467021
103,northam,51.0333,-4.2167,15.14,84,94,10.08,GB,1689467021
104,uturoa,-16.7333,-151.4333,26.41,62,10,4.91,PF,1689467022
105,gulf shores,30.246,-87.7008,31.88,74,0,5.14,US,1689467022
106,susuman,62.7833,148.1667,22.41,59,99,4.24,RU,1689467022
107,bonthe,7.5264,-12.505,24.4,88,15,2.47,SL,1689466948
108,kargil,34.5667,76.1,15.15,60,51,2.57,IN,1689467023
109,oamaru,-45.0784,170.9801,11.32,76,100,1.36,NZ,1689467023
110,bridgewater,44.3835,-64.5155,21.73,94,61,2.06,CA,1689467024
111,rio de janeiro,-22.9028,-43.2075,20.53,69,0,3.09,BR,1689467024
112,medicine hat,50.0501,-110.6683,28.24,35,75,3.09,CA,1689467024
113,st. john's,47.5649,-52.7093,20.66,79,40,4.12,CA,1689466669
114,kill devil hills,36.0307,-75.676,28.32,84,0,8.75,US,1689467018
115,constantia,44.1833,28.65,19.38,74,0,2.99,RO,1689466745
116,sitka,57.0531,-135.33,17.94,72,40,3.09,US,1689467025
117,ust-nera,64.5667,143.2,19.62,64,64,2.46,RU,1689467026
118,merizo village,13.2658,144.6691,31.31,83,55,6.97,GU,1689467026
119,port alfred,-33.5906,26.891,15.68,82,87,4.38,ZA,1689467026
120,chonchi,-42.6128,-73.8092,3.95,94,24,1.34,CL,1689467027
121,trincomalee,8.5711,81.2335,27.86,76,97,9.26,LK,1689467027
122,el gouna,27.3942,33.6782,30.77,38,2,6.03,EG,1689467027
123,puerto ayora,-0.7393,-90.3518,25.31,91,35,1.34,EC,1689467028
124,kirakira,-10.4544,161.9205,26.55,87,100,6.91,SB,1689467028
125,petukhovo,55.0692,67.9019,14.0,97,100,4.27,RU,1689467028
126,carutapera,-1.195,-46.02,25.08,85,78,3.1,BR,1689467029
127,happy valley-goose bay,53.3168,-60.3315,26.17,57,75,1.54,CA,1689467029
128,namibe,-15.1961,12.1522,19.41,49,0,1.95,AO,1689467029
129,puerto aysen,-45.4,-72.7,2.6,99,88,1.14,CL,1689467030
130,cozumel,20.5083,-86.9458,32.04,79,20,3.58,MX,1689466817
131,claremore,36.3126,-95.6161,32.84,59,0,0.45,US,1689467030
132,blankenhain,50.8599,11.3439,19.16,94,100,3.26,DE,1689467031
133,enewetak,11.3474,162.3373,27.85,81,53,7.59,MH,1689467031
134,rio gallegos,-51.6226,-69.2181,-1.97,86,0,7.2,AR,1689466779
135,sol'tsy,58.1239,30.3238,12.39,85,19,1.81,RU,1689467032
136,punta arenas,-53.15,-70.9167,0.06,74,18,6.6,CL,1689467032
137,fale old settlement,-9.3852,-171.2468,28.25,73,70,3.65,TK,1689467033
138,nar'yan-mar,67.6713,53.087,15.77,71,14,2.09,RU,1689467034
139,tavda,58.0425,65.2726,13.45,93,100,2.91,RU,1689467034
140,amga,60.8953,131.9608,17.6,47,25,1.11,RU,1689467034
141,kenai,60.5544,-151.2583,12.05,98,100,2.57,US,1689467035
142,salacgriva,57.7536,24.3581,14.87,71,35,3.24,LV,1689467035
143,udachny,66.4167,112.4,8.03,75,73,3.59,RU,1689467035
144,vilyuchinsk,52.9306,158.4028,18.15,87,99,2.46,RU,1689466857
145,puerto ayacucho,5.6639,-67.6236,24.82,91,42,1.23,VE,1689467036
146,fort st. john,56.2499,-120.8529,21.94,53,100,2.57,CA,1689466998
147,harrismith,-28.2728,29.1295,2.39,77,0,1.22,ZA,1689467037
148,isafjordur,66.0755,-23.124,6.2,95,100,3.5,IS,1689466827
149,santa ana de yacuma,-13.75,-65.4333,21.72,62,1,0.96,BO,1689467037
150,sao vicente,-23.9631,-46.3919,19.43,26,3,0.45,BR,1689466891
151,invercargill,-46.4,168.35,9.07,77,49,8.21,NZ,1689467038
152,kayangel,8.0823,134.7173,27.35,84,100,6.96,PW,1689467039
153,tsiombe,-25.3,45.4833,15.4,74,0,2.15,MG,1689467039
154,mount pearl,47.5166,-52.7813,20.19,80,40,4.12,CA,1689467039
155,mangai,-4.05,19.5333,23.19,38,3,0.65,CD,1689467039
156,ancud,-41.8697,-73.8203,5.89,80,27,2.21,CL,1689467040
157,puerto madero,14.7208,-92.4215,28.11,100,75,0.0,MX,1689467040
158,pedregal,8.3667,-82.4333,27.33,93,100,5.81,PA,1689467040
159,samarinda,-0.5,117.15,23.57,95,100,1.96,ID,1689467041
160,newman,37.3138,-121.0208,42.19,9,0,3.52,US,1689467041
161,soverato marina,38.685,16.5499,28.98,46,0,2.87,IT,1689467041
162,chernyshevskiy,63.0128,112.4714,12.46,49,18,1.83,RU,1689467042
163,safford,32.834,-109.7076,43.51,14,0,7.72,US,1689467042
164,bryne,58.7354,5.6477,16.98,90,40,6.17,NO,1689467043
165,sept-iles,50.2001,-66.3821,18.36,96,100,1.54,CA,1689467043
166,copala,16.65,-98.9833,30.61,62,10,3.29,MX,1689467044
167,olonkinbyen,70.9221,-8.7187,4.06,98,100,8.34,SJ,1689467044
168,bemidji,47.4736,-94.8803,20.05,51,40,6.69,US,1689466799
169,onguday,50.75,86.15,16.7,77,41,1.08,RU,1689467045
170,al ghayzah,16.2079,52.176,25.39,89,28,4.61,YE,1689467045
171,mili,6.0815,171.735,28.47,75,99,7.32,MH,1689467046
172,huarmey,-10.0681,-78.1522,21.42,83,14,5.28,PE,1689467046
173,kailua-kona,19.6406,-155.9956,27.98,74,75,4.63,US,1689467046
174,atherton,53.5237,-2.4935,15.12,95,100,7.09,GB,1689467047
175,ar ruways,24.1103,52.7306,33.57,59,92,0.5,AE,1689467047
176,montepuez,-13.1256,38.9997,15.36,79,0,1.86,MZ,1689467048
177,altai,46.3722,96.2583,20.4,32,71,0.74,MN,1689467048
178,burhanpur,21.3,76.2333,24.62,90,100,3.49,IN,1689467048
179,port elizabeth,-33.918,25.5701,12.16,76,0,2.06,ZA,1689466941
180,tchintabaraden,15.8969,5.7985,32.44,36,54,5.95,NE,1689467049
181,frontera,26.9333,-101.45,37.96,31,58,1.79,MX,1689467050
182,bahia de kino,28.8333,-111.9333,39.95,60,26,4.83,MX,1689467038
183,porto novo,6.4965,2.6036,26.9,89,73,2.61,BJ,1689467050
184,anadyr,64.75,177.4833,19.28,55,0,6.0,RU,1689467051
185,lerwick,60.1545,-1.1494,14.0,92,71,2.63,GB,1689467051
186,coquimbo,-29.9533,-71.3436,12.85,87,0,2.57,CL,1689466996
187,kukawa,12.9234,13.5606,29.17,52,11,2.67,NG,1689467052
188,collie,-33.3667,116.15,4.59,72,0,1.93,AU,1689467052
189,cannonvale,-20.2833,148.7,20.66,67,15,8.69,AU,1689467053
190,palasa,18.7667,84.4167,27.12,78,100,1.7,IN,1689467053
191,gustrow,53.7972,12.1734,21.18,83,75,3.09,DE,1689467053
192,saldanha,-33.0117,17.9442,13.03,92,100,4.78,ZA,1689467054
193,aripuana,-9.1667,-60.6333,25.68,58,3,0.53,BR,1689467054
194,el calafate,-50.3408,-72.2768,-4.28,66,5,1.62,AR,1689467055
195,yeppoon,-23.1333,150.7333,17.88,67,95,5.19,AU,1689467055
196,hadibu,12.65,54.0333,25.52,80,35,10.13,YE,1689467056
197,vung tau,10.346,107.0843,27.44,84,99,7.95,VN,1689467056
198,pyhajarvi,67.0701,27.2176,11.26,94,1,2.16,FI,1689467056
199,santana,-0.0583,-51.1817,29.1,79,20,5.14,BR,1689467057
200,bac lieu,9.285,105.7244,27.42,84,93,5.48,VN,1689467057
201,lundazi,-12.2929,33.1782,12.52,71,0,3.37,ZM,1689467058
202,broken hill,-31.95,141.4333,9.13,72,4,8.02,AU,1689467058
203,pimentel,-6.8367,-79.9342,23.16,83,20,8.75,PE,1689467058
204,stanley,54.868,-1.6985,13.49,90,20,6.17,GB,1689466947
205,acarau,-2.8856,-40.12,26.22,83,7,7.78,BR,1689467059
206,pinon hills,34.4333,-117.6467,40.79,13,0,4.63,US,1689467059
207,fuxin,42.0156,121.6589,19.69,83,100,3.03,CN,1689467060
208,anloga,5.7947,0.8973,25.58,87,79,4.71,GH,1689467061
209,remire-montjoly,4.9167,-52.2667,27.02,83,40,1.03,GF,1689467061
210,qamdo,31.1667,97.2333,6.38,71,59,1.11,CN,1689467061
211,margaret river,-33.95,115.0667,13.66,65,2,7.38,AU,1689467062
212,cabo san lucas,22.8909,-109.9124,35.34,49,20,2.57,MX,1689467062
213,voznesensk,47.5649,31.3308,18.96,53,0,1.91,UA,1689467063
214,papao,-17.75,-149.55,27.82,63,0,3.91,PF,1689467063
215,independence,39.0911,-94.4155,31.05,52,0,2.57,US,1689467064
216,karratha,-20.7377,116.8463,16.64,43,1,8.24,AU,1689467064
217,manado,1.487,124.8455,28.43,78,20,1.03,ID,1689467064
218,suratgarh,29.3167,73.9,32.55,58,98,3.03,IN,1689467065
219,la passe,45.5549,-0.8967,18.88,72,2,5.07,FR,1689467065
220,thompson,55.7435,-97.8558,12.09,87,100,5.66,CA,1689467066
221,bethanie,-26.4833,17.15,8.98,47,1,1.06,NA,1689467066
222,sao jose da coroa grande,-8.8978,-35.1478,24.56,84,13,3.01,BR,1689467067
223,fort mcmurray,56.7268,-111.381,20.77,56,0,2.06,CA,1689467028
224,borogontsy,62.6683,131.1683,15.1,49,40,2.28,RU,1689467067
225,lincoln,40.8,-96.667,28.48,71,0,0.0,US,1689466774
226,east london,-33.0153,27.9116,17.61,59,81,3.45,ZA,1689467068
227,puerto baquerizo moreno,-0.9,-89.6,25.12,79,41,5.15,EC,1689466947
228,nuku'alofa,-21.1333,-175.2,21.19,78,100,4.63,TO,1689466897
229,yuzhno-kurilsk,44.0306,145.8556,14.17,91,100,1.8,RU,1689467070
230,pulsano,40.3821,17.3564,29.9,57,0,0.89,IT,1689467070
231,swift current,50.2834,-107.8014,22.45,49,0,7.72,CA,1689467070
232,ust'-ordynskiy,52.805,104.7508,20.56,72,5,1.81,RU,1689467071
233,cole harbour,44.6724,-63.4751,21.21,95,86,2.57,CA,1689467071
234,laguna de perlas,12.3429,-83.6712,26.41,90,100,5.45,NI,1689467072
235,crane,31.3974,-102.3501,38.03,18,28,8.72,US,1689467072
236,gornozavodsk,58.3758,58.3211,8.97,94,99,1.78,RU,1689467072
237,colonia,50.9333,6.95,21.13,72,0,4.12,DE,1689467073
238,baharly,38.4362,57.4316,28.94,42,19,2.52,TM,1689467073
239,port sudan,19.6175,37.2164,33.15,43,87,1.27,SD,1689467074
240,nchelenge,-9.3451,28.734,17.57,61,0,3.07,ZM,1689467074
241,pembroke,45.8168,-77.1162,18.56,99,100,1.17,CA,1689467074
242,mukalla,14.5425,49.1242,30.27,57,40,1.36,YE,1689467075
243,tokar,18.4254,37.729,30.37,51,76,15.44,SD,1689467075
244,ixtapa,20.7,-105.2,31.24,79,75,4.12,MX,1689467075
245,bowen,-20.0167,148.2333,23.3,59,4,8.93,AU,1689466889
246,kargasok,59.0556,80.8572,13.2,96,78,1.49,RU,1689467076
247,chauk,20.8833,94.8167,27.26,72,87,5.21,MM,1689467076
248,tucano,-10.9631,-38.7867,21.08,87,4,3.43,BR,1689467077
249,mana,5.6592,-53.7767,25.65,91,54,3.54,GF,1689467077
250,champerico,14.3,-91.9167,27.3,70,29,2.08,GT,1689467077
251,ulsteinvik,62.3432,5.8487,16.53,89,80,1.79,NO,1689467078
252,conduaga,8.862,117.4893,27.21,86,99,6.44,PH,1689467078
253,illapel,-31.6308,-71.1653,14.29,57,9,0.51,CL,1689466571
254,mogadishu,2.0371,45.3438,25.01,81,100,8.67,SO,1689466812
255,nieuw amsterdam,5.8833,-55.0833,26.19,87,40,0.0,SR,1689467079
256,dos de mayo,-27.0228,-54.6867,10.38,91,81,0.49,AR,1689467079
257,cascais,38.6979,-9.4215,18.85,73,3,9.83,PT,1689467080
258,sabang,5.8933,95.3214,27.9,76,90,8.7,ID,1689467080
259,ilhabela,-23.7781,-45.3581,18.05,81,4,3.19,BR,1689466946
260,kuqa,41.7278,82.9364,30.55,21,2,1.99,CN,1689467081
261,gisborne,-38.6533,178.0042,15.3,65,100,5.05,NZ,1689467081
262,kasongo-lunda,-6.4667,16.8167,21.65,39,1,0.04,CD,1689467082
263,lihue,21.9789,-159.3672,28.77,70,20,6.17,US,1689466828
264,bikin,46.8161,134.26,16.41,77,97,1.23,RU,1689467082
265,carnarvon,-24.8667,113.6333,13.33,41,0,5.14,AU,1689467083
266,saint-louis,16.3333,-15.0,29.41,65,92,6.8,SN,1689467083
267,qaqortoq,60.7167,-46.0333,5.91,93,100,2.05,GL,1689467083
268,usinsk,65.9939,57.5281,15.41,68,5,1.45,RU,1689467084
269,boaco,12.4722,-85.6586,23.2,93,99,4.04,NI,1689467084
270,muli,2.9167,73.5667,28.27,74,38,3.06,MV,1689467084
271,ola,59.5833,151.2833,20.08,74,58,2.85,RU,1689467085
272,hryhoriopol,47.1536,29.2964,18.54,50,1,2.04,MD,1689467085
273,pisco,-13.7,-76.2167,20.03,73,0,4.63,PE,1689466796
274,caleta de carquin,-11.0925,-77.6267,20.49,81,25,5.44,PE,1689467086
275,nova sintra,14.8667,-24.7167,22.55,78,72,1.06,CV,1689467086
276,yoichi,43.2039,140.7703,22.89,85,100,1.4,JP,1689467086
277,barabai,-2.5833,115.3833,23.83,94,100,0.22,ID,1689467087
278,amasra,41.7463,32.3863,19.75,81,0,2.07,TR,1689467087
279,wonju,37.3514,127.9453,23.5,98,100,1.51,KR,1689467087
280,acapulco de juarez,16.8634,-99.8901,30.9,74,75,5.14,MX,1689467070
281,el granada,37.5027,-122.4694,36.71,71,100,9.77,US,1689467088
282,vanimo,-2.6741,141.3028,27.71,79,72,0.63,PG,1689467088
283,yermentau,51.6214,73.1069,13.8,88,81,6.46,KZ,1689467089
284,colwyn bay,53.2948,-3.7267,14.41,92,99,9.58,GB,1689467089
